ANO,MES,DIA,HORA,TEMP
2013,MARZO,18,19,21
2013,MARZO,18,21,22
2013,MARZO,18,22,21
2013,MARZO,18,23,19
2013,MARZO,19,11,15
2013,MARZO,19,12,16
2013,MARZO,19,13,18
2013,MARZO,19,14,18
2013,MARZO,19,15,18
2013,MARZO,19,16,19
2013,MARZO,19,17,20
2013,MARZO,19,19,23
2013,MARZO,19,21,20
2013,MARZO,19,23,18
2013,MARZO,20,11,16
2013,MARZO,20,12,16
2013,MARZO,20,13,16
2013,MARZO,20,14,17
2013,MARZO,20,15,18
2013,MARZO,20,16,19
2013,MARZO,20,17,21
2013,MARZO,20,19,21
2013,MARZO,20,20,21
2013,MARZO,20,21,23
2013,MARZO,20,22,22
2013,MARZO,20,23,20
2013,MARZO,21,11,15
2013,MARZO,21,12,16
2013,MARZO,21,13,16
2013,MARZO,21,14,16
2013,MARZO,21,15,16
2013,MARZO,21,16,16
2013,MARZO,21,17,17
2013,MARZO,21,18,17
2013,MARZO,21,19,18
2013,MARZO,21,20,18
2013,MARZO,21,20,17
2013,MARZO,21,21,17
2013,MARZO,21,22,17
2013,MARZO,21,23,17
2013,MARZO,22,11,15
2013,MARZO,22,12,14
2013,MARZO,22,13,17
2013,MARZO,22,14,18
2013,MARZO,22,15,20
2013,MARZO,22,16,21
2013,MARZO,22,17,21
2013,MARZO,22,18,21
2013,MARZO,22,19,20
2013,MARZO,22,20,20
2013,MARZO,22,21,20
2013,MARZO,22,22,20
2013,MARZO,23,11,15
2013,MARZO,23,12,15
2013,MARZO,23,13,16
2013,MARZO,23,14,17
2013,MARZO,23,15,19
2013,MARZO,23,16,19
2013,MARZO,23,17,20
2013,MARZO,23,19,23
2013,MARZO,23,20,22
2013,MARZO,23,21,21
2013,MARZO,23,22,20
2013,MARZO,23,23,18
2013,MARZO,24,11,15
2013,MARZO,24,12,15
2013,MARZO,24,13,17
2013,MARZO,24,14,20
2013,MARZO,24,15,20
2013,MARZO,24,16,21
2013,MARZO,24,17,23
2013,MARZO,24,18,24
2013,MARZO,24,19,22
2013,MARZO,24,20,24
2013,MARZO,24,21,23
2013,MARZO,24,22,21
2013,MARZO,24,23,20
2013,MARZO,25,11,16
2013,MARZO,25,12,17
2013,MARZO,25,13,17
2013,MARZO,25,14,19
2013,MARZO,25,15,22
2013,MARZO,25,16,23
2013,MARZO,25,17,22
2013,MARZO,25,18,23
2013,MARZO,25,19,22
2013,MARZO,25,20,23
2013,MARZO,25,21,22
2013,MARZO,25,22,21
2013,MARZO,25,23,19
2013,MARZO,26,12,16
2013,MARZO,26,13,17
2013,MARZO,26,14,16
2013,MARZO,26,15,16
2013,MARZO,26,16,17
2013,MARZO,26,17,17
2013,MARZO,26,19,20
2013,MARZO,26,20,22
2013,MARZO,26,21,22
2013,MARZO,26,22,21
2013,MARZO,26,23,20
2013,MARZO,27,11,16
2013,MARZO,27,12,16
2013,MARZO,27,13,17
2013,MARZO,27,14,18
2013,MARZO,27,15,21
2013,MARZO,27,16,22
2013,MARZO,27,17,22
2013,MARZO,27,18,23
2013,MARZO,27,19,24
2013,MARZO,27,20,24
2013,MARZO,27,21,24
2013,MARZO,27,22,22
2013,MARZO,27,23,20
2013,MARZO,28,11,16
2013,MARZO,28,12,15
2013,MARZO,28,13,17
2013,MARZO,28,14,18
2013,MARZO,28,15,21
2013,MARZO,28,16,22
2013,MARZO,28,17,22
2013,MARZO,28,18,24
2013,MARZO,28,19,23
2013,MARZO,28,20,23
2013,MARZO,28,21,22
2013,MARZO,28,22,21
2013,MARZO,29,11,16
2013,MARZO,29,12,16
2013,MARZO,29,13,20
2013,MARZO,29,14,21
2013,MARZO,29,15,22
2013,MARZO,29,16,22
2013,MARZO,29,17,24
2013,MARZO,29,18,25
2013,MARZO,29,19,25
2013,MARZO,29,20,25
2013,MARZO,29,21,25
2013,MARZO,29,22,23
2013,MARZO,29,23,21
2013,MARZO,30,11,14
2013,MARZO,30,12,15
2013,MARZO,30,13,19
2013,MARZO,30,14,21
2013,MARZO,30,15,21
2013,MARZO,30,16,21
2013,MARZO,30,17,22
2013,MARZO,30,18,26
2013,MARZO,30,20,24
2013,MARZO,30,21,25
2013,MARZO,30,22,25
2013,MARZO,30,23,23
2013,MARZO,31,11,19
2013,MARZO,31,12,19
2013,MARZO,31,13,22
2013,MARZO,31,14,24
2013,MARZO,31,15,25
2013,MARZO,31,16,26
2013,MARZO,31,17,26
2013,MARZO,31,18,26
2013,MARZO,31,19,27
2013,MARZO,31,20,26
2013,MARZO,31,21,25
2013,MARZO,31,22,25
2013,MARZO,31,23,24
2013,ABRIL,1,11,19
2013,ABRIL,1,12,18
2013,ABRIL,1,13,19
2013,ABRIL,1,14,23
2013,ABRIL,1,15,25
2013,ABRIL,1,18,26
2013,ABRIL,1,19,24
2013,ABRIL,1,20,25
2013,ABRIL,1,21,24
2013,ABRIL,1,22,23
2013,ABRIL,1,23,21
2013,ABRIL,2,11,16
2013,ABRIL,2,12,16
2013,ABRIL,2,13,17
2013,ABRIL,2,14,18
2013,ABRIL,2,15,18
2013,ABRIL,2,16,18
2013,ABRIL,2,17,19
2013,ABRIL,2,18,19
2013,ABRIL,2,19,19
2013,ABRIL,2,20,19
2013,ABRIL,2,21,20
2013,ABRIL,2,22,20
2013,ABRIL,2,23,20
2013,ABRIL,3,11,14
2013,ABRIL,3,12,14
2013,ABRIL,3,13,16
2013,ABRIL,3,14,19
2013,ABRIL,3,15,20
2013,ABRIL,3,16,22
2013,ABRIL,3,17,23
2013,ABRIL,3,18,24
2013,ABRIL,3,19,24
2013,ABRIL,3,20,24
2013,ABRIL,3,21,25
2013,ABRIL,3,22,22
2013,ABRIL,3,23,21
2013,ABRIL,4,11,15
2013,ABRIL,4,12,15
2013,ABRIL,4,13,16
2013,ABRIL,4,14,18
2013,ABRIL,4,15,20
2013,ABRIL,4,16,21
2013,ABRIL,4,17,21
2013,ABRIL,4,18,22
2013,ABRIL,4,19,23
2013,ABRIL,4,20,22
2013,ABRIL,4,21,21
2013,ABRIL,4,22,20
2013,ABRIL,4,23,19
2013,ABRIL,5,11,14
2013,ABRIL,5,12,15
2013,ABRIL,5,13,18
2013,ABRIL,5,14,21
2013,ABRIL,5,15,22
2013,ABRIL,5,16,22
2013,ABRIL,5,17,22
2013,ABRIL,5,18,24
2013,ABRIL,5,19,24
2013,ABRIL,5,20,23
2013,ABRIL,5,21,21
2013,ABRIL,5,22,22
2013,ABRIL,5,23,20
2013,ABRIL,6,11,14
2013,ABRIL,6,12,15
2013,ABRIL,6,13,21
2013,ABRIL,6,14,21
2013,ABRIL,6,15,21
2013,ABRIL,6,16,23
2013,ABRIL,6,17,23
2013,ABRIL,6,18,21
2013,ABRIL,6,19,23
2013,ABRIL,6,21,21
2013,ABRIL,6,22,20
2013,ABRIL,6,23,20
2013,ABRIL,7,11,15
2013,ABRIL,7,12,16
2013,ABRIL,7,13,17
2013,ABRIL,7,14,19
2013,ABRIL,7,16,22
2013,ABRIL,7,17,22
2013,ABRIL,7,19,24
2013,ABRIL,7,20,25
2013,ABRIL,7,21,25
2013,ABRIL,7,22,22
2013,ABRIL,8,11,16
2013,ABRIL,8,12,16
2013,ABRIL,8,13,18
2013,ABRIL,8,14,19
2013,ABRIL,8,15,21
2013,ABRIL,8,16,22
2013,ABRIL,8,17,22
2013,ABRIL,8,18,21
2013,ABRIL,8,19,24
2013,ABRIL,8,20,25
2013,ABRIL,8,21,24
2013,ABRIL,8,22,24
2013,ABRIL,8,23,22
2013,ABRIL,9,24,19
2013,ABRIL,9,1,18
2013,ABRIL,9,11,16
2013,ABRIL,9,12,16
2013,ABRIL,9,13,17
2013,ABRIL,9,15,19
2013,ABRIL,9,16,22
2013,ABRIL,9,17,25
2013,ABRIL,9,17,25
2013,ABRIL,9,18,26
2013,ABRIL,9,19,24
2013,ABRIL,9,20,26
2013,ABRIL,9,21,25
2013,ABRIL,9,22,21
2013,ABRIL,9,23,20
2013,ABRIL,10,11,14
2013,ABRIL,10,12,15
2013,ABRIL,10,13,16
2013,ABRIL,10,14,18
2013,ABRIL,10,15,20
2013,ABRIL,10,16,23
2013,ABRIL,10,17,25
2013,ABRIL,10,18,25
2013,ABRIL,10,19,26
2013,ABRIL,10,20,25
2013,ABRIL,10,21,23
2013,ABRIL,10,22,23
2013,ABRIL,10,23,20
2013,ABRIL,11,11,15
2013,ABRIL,15,16,21
2013,ABRIL,15,17,23
2013,ABRIL,15,18,24
2013,ABRIL,15,19,24
2013,ABRIL,15,20,25
2013,ABRIL,15,21,26
2013,ABRIL,15,22,26
2013,ABRIL,15,23,23
2013,ABRIL,16,11,17
2013,ABRIL,16,12,18
2013,ABRIL,16,13,20
2013,ABRIL,16,14,21
2013,ABRIL,16,15,23
2013,ABRIL,16,16,25
2013,ABRIL,16,17,25
2013,ABRIL,17,15,23
2013,ABRIL,17,16,25
2013,ABRIL,17,17,26
2013,ABRIL,17,18,25
2013,ABRIL,17,19,24
2013,ABRIL,17,21,18
2013,ABRIL,17,22,19
2013,ABRIL,17,23,18
2013,ABRIL,18,11,15
2013,ABRIL,18,12,16
2013,ABRIL,18,13,19
2013,ABRIL,18,14,21
2013,ABRIL,18,15,22
2013,ABRIL,18,16,22
2013,ABRIL,18,17,22
2013,ABRIL,18,18,21
2013,ABRIL,18,20,19
2013,ABRIL,18,22,18
2013,ABRIL,18,23,17
2013,ABRIL,19,11,15
2013,ABRIL,19,12,15
2013,ABRIL,19,13,16
2013,ABRIL,19,14,19
2013,ABRIL,19,15,20
2013,ABRIL,19,16,20
2013,ABRIL,19,17,20
2013,ABRIL,19,18,20
2013,ABRIL,19,18,21
2013,ABRIL,19,19,21
2013,ABRIL,19,20,21
2013,ABRIL,19,21,21
2013,ABRIL,19,22,20
2013,ABRIL,19,23,18
2013,ABRIL,20,11,14
2013,ABRIL,20,12,14
2013,ABRIL,20,13,14
2013,ABRIL,20,14,16
2013,ABRIL,20,15,17
2013,ABRIL,20,16,18
2013,ABRIL,20,17,18
2013,ABRIL,20,18,20
2013,ABRIL,20,19,20
2013,ABRIL,20,21,19
2013,ABRIL,20,22,18
2013,ABRIL,20,23,18
2013,ABRIL,21,11,15
2013,ABRIL,21,12,15
2013,ABRIL,21,13,17
2013,ABRIL,21,14,18
2013,ABRIL,21,15,20
2013,ABRIL,21,17,21
2013,ABRIL,21,18,22
2013,ABRIL,21,19,22
2013,ABRIL,21,20,21
2013,ABRIL,21,21,20
2013,ABRIL,21,22,19
2013,ABRIL,21,23,19
2013,ABRIL,22,11,15
2013,ABRIL,22,12,15
2013,ABRIL,22,13,15
2013,ABRIL,22,14,16
2013,ABRIL,22,15,18
2013,ABRIL,22,16,19
2013,ABRIL,22,17,18
2013,ABRIL,22,18,19
2013,ABRIL,22,19,20
2013,ABRIL,22,20,21
2013,ABRIL,22,22,20
2013,ABRIL,22,23,18
2013,ABRIL,23,11,14
2013,ABRIL,23,12,15
2013,ABRIL,23,13,17
2013,ABRIL,23,14,19
2013,ABRIL,23,15,20
2013,ABRIL,23,16,22
2013,ABRIL,23,17,22
2013,ABRIL,23,18,23
2013,ABRIL,23,19,21
2013,ABRIL,23,21,23
2013,ABRIL,23,23,20
