TA,TR,HR,WI
92,74,94,14
91,75,94,14
91,74,88,16
91,75,85,16
91,74,85,18
93,74,88,16
94,74,94,13
93,73,94,14
94,73,87,12
96,73,94,13
97,72,87,10
95,72,87,13
95,72,93,12
96,74,88,13
98,74,88,14
97,74,88,13
97,73,94,12
97,73,94,13
97,74,85,13
99,73,88,14
99,74,85,13
98,73,94,12
98,75,94,12
100,75,88,13
100,75,91,14
101,74,88,12
101,71,82,10
102,70,69,13
99,64,68,10
100,66,69,10
99,69,79,13
100,74,88,12
101,75,85,13
102,73,85,13
101,73,88,13
103,73,100,20
105,69,55,13
104,70,74,10
101,74,85,10
98,73,74,10
98,70,82,13
98,71,87,12
99,73,88,14
99,74,85,13
84,74,94,13
92,74,93,14
99,75,94,13
101,76,94,12
101,73,87,9
101,71,79,12
98,71,87,8
98,72,87,12
98,65,73,12
95,65,79,9
96,67,74,10
97,72,87,16
94,72,87,14
95,70,90,12
94,71,87,13
100,74,88,14
101,77,91,16
100,75,94,12
100,74,88,13
99,74,88,10
93,75,100,10
96,76,100,16
93,75,94,12
91,72,87,13
91,58,73,13
90,68,79,12
95,72,87,16
93,74,94,13
96,73,94,13
96,73,94,12
96,73,94,9
95,70,90,9
95,71,87,12
97,67,79,10
94,69,90,10
95,64,73,10
96,67,79,12
95,65,84,12
95,67,76,13
89,66,90,12
94,66,87,10
95,65,84,10
94,63,73,12
89,58,68,12
87,45,57,8
87,50,67,8
85,56,57,9
90,56,63,8
91,63,72,12
91,69,90,10
88,66,79,8
90,62,78,10
95,64,78,13
99,73,90,13
94,73,79,12
96,49,60,9
95,67,87,12
90,66,93,12
88,54,67,9
84,42,51,9
86,53,67,12
87,68,86,13
86,70,90,16
82,74,100,16
80,76,100,21
76,74,100,17
64,58,100,17
79,57,78,15
84,56,93,8
82,54,78,18
81,64,96,12
75,73,100,29
77,73,100,16
75,59,97,8
79,60,100,10
80,62,100,10
78,68,100,13
85,74,100,12
76,71,87,14
63,57,100,17
71,47,72,13
73,55,83,6
74,67,90,12
85,71,93,13
71,41,51,16
65,43,57,7
65,52,83,8
70,62,87,9
75,71,100,16
75,70,93,18
72,45,93,9
79,51,86,8
77,61,93,12
66,63,93,22
59,33,82,8
63,41,92,9
64,58,80,9
74,64,93,14
74,71,100,14
74,71,100,15
44,42,100,13
47,44,96,9
55,48,100,7
59,46,93,7
68,48,100,9
63,38,86,8
